sequence,zip,lat,lon,state
1,00544,40.8154,-73.0451,NY
2,11738,40.8366,-73.0413,NY
3,11784,40.8699,-73.0448,NY
4,11720,40.8705,-73.0822,NY
5,11755,40.8567,-73.1168,NY
6,11767,40.8462,-73.1482,NY
7,11780,40.8813,-73.1591,NY
8,11790,40.9068,-73.1277,NY
9,11733,40.9426,-73.1116,NY
10,11777,40.9457,-73.0611,NY
11,11776,40.9136,-73.0464,NY
12,11727,40.885,-73.0069,NY
13,11766,40.9271,-73.0127,NY
14,11764,40.9436,-72.9913,NY
15,11789,40.9567,-72.9742,NY
16,11778,40.9492,-72.9357,NY
17,11786,40.9485,-72.8927,NY
18,11792,40.952,-72.8348,NY
19,11933,40.9297,-72.7423,NY
20,11901,40.9262,-72.652,NY
21,11794,40.9223,-72.6371,NY
22,11931,40.9223,-72.6371,NY
23,11947,40.9223,-72.6371,NY
24,11970,40.9365,-72.5773,NY
25,11948,40.9674,-72.554,NY
26,11952,40.9943,-72.5363,NY
27,11956,40.9915,-72.4759,NY
28,11935,41.0139,-72.4803,NY
29,11958,41.0392,-72.4666,NY
30,11971,41.0555,-72.429,NY
31,11964,41.064,-72.3366,NY
32,11965,41.084,-72.3559,NY
33,11944,41.1039,-72.3674,NY
34,11939,41.1264,-72.3419,NY
35,11957,41.1437,-72.2879,NY
36,06376,41.2967,-72.2633,CT
37,06371,41.3347,-72.3086,CT
38,06333,41.3668,-72.233,CT
39,06357,41.3253,-72.2108,CT
40,06385,41.3469,-72.1458,CT
41,06320,41.3507,-72.1062,CT
42,06340,41.3572,-72.0579,CT
43,06390,41.2639,-72.0178,NY
44,06388,41.3441,-71.9765,CT
45,06355,41.3616,-71.9774,CT
46,06372,41.3882,-71.9495,CT
47,06378,41.3664,-71.9155,CT
48,06359,41.4531,-71.8727,CT
49,06379,41.3735,-71.8478,CT
50,02891,41.3691,-71.8126,RI
51,02804,41.4231,-71.7837,RI
52,02808,41.4114,-71.7465,RI
53,02894,41.45,-71.7074,RI
54,02832,41.5096,-71.7339,RI
55,02833,41.4751,-71.7726,RI
56,02873,41.5199,-71.774,RI
57,06384,41.5831,-71.855,CT
58,06373,41.6785,-71.8178,CT
59,06377,41.7156,-71.8196,CT
60,02827,41.7062,-71.7356,RI
61,02825,41.7815,-71.7187,RI
62,02815,41.7778,-71.6706,RI
63,02857,41.8439,-71.6242,RI
64,02829,41.8793,-71.5894,RI
65,02940,41.8718,-71.5585,RI
66,02828,41.8734,-71.5569,RI
67,02917,41.8964,-71.5207,RI
68,02919,41.8274,-71.52,RI
69,02911,41.8547,-71.4735,RI
70,02904,41.8541,-71.4378,RI
71,02918,41.8415,-71.4404,RI
72,02908,41.8383,-71.4377,RI
73,02909,41.8206,-71.4443,RI
74,02902,41.8184,-71.4249,RI
75,02903,41.82,-71.4158,RI
76,02901,41.8227,-71.4145,RI
77,02912,41.8267,-71.3977,RI
78,02906,41.8351,-71.3971,RI
79,02914,41.8138,-71.3688,RI
80,02915,41.7723,-71.3542,RI
81,02806,41.7443,-71.3175,RI
82,02872,41.7071,-71.2868,RI
83,02809,41.6825,-71.2676,RI
84,02885,41.7256,-71.2702,RI
85,02777,41.7473,-71.2122,MA
86,02725,41.7223,-71.178,MA
87,02724,41.685,-71.1748,MA
88,02721,41.6883,-71.1574,MA
89,02723,41.6926,-71.1332,MA
90,02720,41.7182,-71.14,MA
91,02726,41.756,-71.1492,MA
92,02715,41.8125,-71.1427,MA
93,02764,41.8529,-71.1485,MA
94,02780,41.905,-71.1026,MA
95,02767,41.9324,-71.0469,MA
96,02718,41.8736,-71.0192,MA
97,02779,41.8353,-71.0765,MA
98,02702,41.7975,-71.0607,MA
99,02741,41.7562,-71.0671,MA
100,02714,41.7562,-71.0671,MA
101,02783,41.7562,-71.0671,MA
102,02717,41.7635,-70.9677,MA
103,02347,41.8374,-70.9582,MA
104,02349,41.8932,-70.9112,MA
105,02346,41.8884,-70.893,MA
106,02770,41.7591,-70.8523,MA
107,02743,41.6997,-70.9087,MA
108,02745,41.6913,-70.9355,MA
109,02746,41.66,-70.9324,MA
110,02740,41.6347,-70.9372,MA
111,02744,41.6127,-70.9167,MA
112,02719,41.6409,-70.8896,MA
113,02739,41.6618,-70.8164,MA
114,02738,41.7095,-70.7613,MA
115,02576,41.7796,-70.7642,MA
116,02571,41.7541,-70.7116,MA
117,02558,41.7476,-70.6582,MA
118,02538,41.7682,-70.6532,MA
119,02366,41.8501,-70.7044,MA
120,02330,41.8883,-70.7678,MA
121,02355,41.9169,-70.8013,MA
122,02367,41.9655,-70.8046,MA
123,02338,42.0002,-70.8448,MA
124,02350,42.0185,-70.8475,MA
125,02341,42.0616,-70.8651,MA
126,02327,42.0407,-70.8272,MA
127,02359,42.0621,-70.8044,MA
128,02340,42.1137,-70.8161,MA
129,02339,42.1214,-70.857,MA
130,02061,42.1596,-70.8217,MA
131,02025,42.2395,-70.8128,MA
132,02060,42.219,-70.7856,MA
133,02055,42.2404,-70.762,MA
134,02066,42.2032,-70.7525,MA
135,02040,42.1793,-70.7495,MA
136,02051,42.1512,-70.7341,MA
137,02047,42.1428,-70.6935,MA
138,02050,42.1062,-70.6993,MA
139,02065,42.0972,-70.6516,MA
140,02020,42.0818,-70.6439,MA
141,02041,42.0696,-70.6491,MA
142,02332,42.0399,-70.7163,MA
143,02364,41.995,-70.741,MA
144,02362,41.9705,-70.7014,MA
145,02059,41.9705,-70.7014,MA
146,02331,41.9705,-70.7014,MA
147,02358,41.9535,-70.7131,MA
148,02360,41.9104,-70.642,MA
149,02381,41.9316,-70.5611,MA
150,02345,41.8882,-70.581,MA
151,02562,41.7933,-70.5196,MA
152,02561,41.7703,-70.5337,MA
153,02532,41.7455,-70.5905,MA
154,02559,41.6881,-70.6105,MA
155,02553,41.6734,-70.608,MA
156,02534,41.6694,-70.6234,MA
157,02556,41.6417,-70.623,MA
158,02574,41.6039,-70.6382,MA
159,02543,41.5263,-70.6643,MA
160,02541,41.5515,-70.6148,MA
161,02540,41.5648,-70.6217,MA
162,02536,41.5968,-70.5671,MA
163,02542,41.6531,-70.5537,MA
164,02644,41.6827,-70.5143,MA
165,02563,41.7113,-70.4775,MA
166,02537,41.7283,-70.44,MA
167,02668,41.7002,-70.372,MA
168,02648,41.6703,-70.4163,MA
169,02649,41.6181,-70.4854,MA
170,02635,41.6243,-70.4364,MA
171,02655,41.63,-70.3837,MA
172,02632,41.6606,-70.3532,MA
173,02672,41.6356,-70.3233,MA
174,02647,41.635,-70.3063,MA
175,02601,41.6601,-70.2967,MA
176,02630,41.6983,-70.3001,MA
177,02637,41.7014,-70.2772,MA
178,02634,41.7993,-70.3087,MA
179,02657,42.0534,-70.1865,MA
180,02652,42.0338,-70.0875,MA
181,02666,41.9988,-70.0564,MA
182,02667,41.9289,-70.0186,MA
183,02642,41.8408,-69.9849,MA
184,02651,41.8243,-69.9818,MA
185,02643,41.7843,-69.962,MA
186,02653,41.7792,-69.9822,MA
187,02662,41.7567,-69.9841,MA
188,02650,41.703,-69.9666,MA
189,02633,41.6889,-69.9722,MA
190,02669,41.6812,-69.9911,MA
191,02659,41.6801,-70.0241,MA
192,02661,41.6862,-70.0329,MA
193,02645,41.7008,-70.0579,MA
194,02631,41.7492,-70.0699,MA
195,02663,41.8005,-70.0768,MA
196,02641,41.7426,-70.162,MA
197,02660,41.7097,-70.1585,MA
198,02638,41.7322,-70.1911,MA
199,02675,41.7051,-70.227,MA
200,02673,41.6614,-70.2363,MA
201,02664,41.6739,-70.1949,MA
202,02670,41.6626,-70.1681,MA
203,02639,41.6649,-70.1327,MA
204,02671,41.6694,-70.1135,MA
205,02646,41.6703,-70.0722,MA
206,02564,41.2639,-69.9626,MA
207,02584,41.2778,-70.046,MA
208,02554,41.2725,-70.0932,MA
